Agency Name,Longitude,Latitude
Department of Probation Queens Office,-73.797071,40.704434
Department of Probation Brooklyn Office,-73.988589,40.692882
Department of Probation Manhattan Office,-73.945385,40.809538
Department of Probation Staten Island Office,-74.07535,40.633991
Masbia of Flatbush,-73.965242,40.624064
Masbia of Flatbush,-73.965242,40.624064
Masbia of Boro Park,-73.996953,40.633157
Masbia of Boro Park,-73.996953,40.633157
Masbia of Queens,-73.850656,40.731967
Masbia of Queens,-73.850656,40.731967
Agatha House Foundation,-73.841093,40.90257
West Side Campaign Against Hunger,-73.88098,40.807515
West Side Campaign Against Hunger,-73.977265,40.788792
The River Fund New York Mobile Outreach,-73.829205,40.696933
The River Fund New York,-73.829205,40.696933
Project Hospitality Inc.,-74.076763,40.629471
Project Hospitality Inc.,-74.076763,40.629471
Project Hospitality Inc.,-74.076763,40.629471
Community Kitchen and Food Pantry (Pantry),-73.954916,40.804053
Community Kitchen and Food Pantry (Kitchen),-73.954916,40.804053
The Campaign Against Hunger,-73.918112,40.678553
The Campaign Against Hunger,-73.918112,40.678553
Metropolitan Council on Jewish Poverty,-73.923712,40.638725
Holy Apostles Soup Kitchen,-73.998973,40.749354
New York Common Pantry,-73.890391,40.830855
New York Common Pantry (Pantry & Soup Kitchen),-73.949123,40.795861
New York Common Pantry (Pantry & Soup Kitchen),-73.949123,40.795861
Agatha House Foundation-Mobile Pantry,-73.841093,40.90257
St. John's Bread and Life Program (Pantry and Soup Kitchen),-73.92892,40.690319
West Harlem Group Assistance,-73.938187,40.818215
Metro World Child Mobile Program,-73.979651,40.695996
Metro World Child Mobile Program,-74.001024,40.748227
Metro World Child Mobile Program,-73.947447,40.799912
Metro World Child Mobile Program,-73.922234,40.852429
Metro World Child Mobile Program,-73.925712,40.693964
Family Integration Ministry,-73.943893,40.830009
Project EATS,-73.910601,40.665666
Women of Courage Mission Inc,-73.909824,40.837349
Moriah City Community Food Pantry,-73.745539,40.696168
Yeshua Worldwide Ministries Food Pantry,-73.880253,40.725677
Parish Of Saint Brendan and Saint Ann,-73.877832,40.875483
Council of Peoples Organization (COPO),-73.966303,40.631326
Apna Food Pantry Brighton Beach,-73.96139,40.581782
GOOD NEIGHBORS COMMUNITY OUTREACH AGENCY INC,-73.848523,40.875497
LifeBridge NY,-73.937544,40.623493
Mosholu Montefiore Community Center,-73.880581,40.881957
Family of Christ Food Distribution,-73.842165,40.839955
Divine intervention institute Inc,-73.933437,40.619238
La Jornada- Corona location,-73.854333,40.748751
"Ash-Shifaa, Inc.",-73.885059,40.85163
Treasures In Earthen Jars Food Pantry,-73.936283,40.632232
